Product Name,Volume Points,MRP,
Activated Fibre 90,15.75,"1,709.00",
Active fiber complex,22.95,"2,672.00",
Afresh Energy Drink,7.80,848.00,
Aloe Plus,9.40,"1,106.00",
Beta Heart Vanilla,19.55,"2,342.00",
Brain Health,15.10,"1,529.00",
Cell Activator60 Tab,21.95,"2,313.00",
Cell - U - Loss 90 Tablets,15.75,"1,780.00",
Dinoshake 200 g,9.60,"1,164.00",
Formula 1 Nutritional,21.75,"2,276.00",
H24 Rebuild Strength,24.70,"2,731.00",
Herbal Aloe concentr,24.95,"2,815.00",
Herbal Control,32.95,"3,584.00",
Herbalife Calcium Tab,10.25,"1,256.00",
Herbalife H24 Hydrate,14.05,"1,709.00",
IHerbalifeline® 60,25.75,"2,785.00",
HN - Skin Booster - 30,38.65,"4,082.00",
Immune Health,15.80,"1,596.00",
Joint Support,20.90,"2,563.00",
Male Factor +,34.75,"3,559.00",
Multivitamin,19.95,"2,091.00",
Niteworks .,75.00,"7,442.00",
Ocular Defense,19.25,"2,012.00",
Personaliz Protein200,11.50,"1,352.00",
Personaliz Protein400,22.50,"2,594.00",
ShakeMate,6.45,681,
Simply Probiotic,21.95,"2,306.00",
Triphala 60 Tablets,11.25,"1,138.00",
Woman's Choice,12.45,"1,298.00",
